# generated by dashboard-metrics.sql on 2026-08-18 | prediction history, rows with a known outcome
month,n,positives,prevalence,accuracy,precision,recall,f1_threshold_0_5,auc_probability,auc_score,distinct_probability_values,distinct_score_values
2025-01-01,509,119,0.2337917485265226,0.768172888015717,0.5454545454545454,0.05042016806722689,0.09230769230769231,0.6716224951519069,0.6566041801335919,300,300
2025-02-01,922,161,0.17462039045553146,0.797180043383948,0.21739130434782608,0.062111801242236024,0.0966183574879227,0.49471927261449056,0.4894548689612393,334,334
2025-03-01,963,109,0.11318795430944964,0.8868120456905504,0.5,0.07339449541284404,0.128,0.45775411984616377,0.4726650624154008,206,206
2025-04-01,1718,225,0.1309662398137369,0.8678696158323632,0.4883720930232558,0.18666666666666668,0.27009646302250806,0.6021760809704547,0.6100677234501749,536,538
2025-05-01,5142,512,0.09957215091404123,0.882147024504084,0.11475409836065574,0.02734375,0.04416403785488959,0.5662216944519438,0.574040943911987,1409,1420
2025-06-01,5587,478,0.08555575442992662,0.860748165383927,0.11538461538461539,0.09414225941422594,0.10368663594470046,0.5890194185173264,0.5913628914762774,1555,1560
2025-07-01,4621,505,0.10928370482579529,0.8121618697251677,0.18974358974358974,0.2198019801980198,0.2036697247706422,0.4865436981015886,0.4858831509973155,1672,1688
2025-08-01,6739,533,0.07909185339071079,0.8458228223772073,0.181360201511335,0.2701688555347092,0.21703089675960813,0.5631917366175323,0.5585396992198436,2220,2244
2025-09-01,6467,763,0.11798360909231483,0.8543374052883872,0.23123123123123124,0.10091743119266056,0.14051094890510948,0.5786455757979041,0.5935004108312394,1944,1957
2025-10-01,8460,509,0.06016548463356974,0.8085106382978723,0.096,0.2593320235756385,0.14012738853503184,0.5875208392069402,0.5932167037841554,2899,2959
2025-11-01,6522,754,0.11560870898497394,0.8262802821220484,0.2158920539730135,0.1909814323607427,0.20267417311752287,0.5440200806057016,0.5512240312416075,2230,2252
2025-12-01,4076,376,0.09224730127576054,0.861874386653582,0.2545931758530184,0.2579787234042553,0.2562747688243065,0.6377666762507188,0.6328525733179988,1622,1644
2026-01-01,10076,906,0.08991663358475585,0.8083564906709012,0.1347113328581611,0.20860927152317882,0.16370723256821135,0.5982551197517579,0.6001198239773134,4000,4030
2026-02-01,3892,479,0.12307297019527236,0.8396711202466598,0.16279069767441862,0.07306889352818371,0.10086455331412104,0.7174055725774042,0.6889297766675005,1263,1263
2026-03-01,37447,14280,0.38133895906214116,0.6057361070312709,0.16106442577030813,0.008053221288515405,0.015339469120981726,0.5314868572715054,0.5133533127931537,4592,4609
2026-04-01,9175,920,0.1002724795640327,0.828991825613079,0.12572087658592848,0.11847826086956521,0.12199216564073867,0.5511890027124536,0.532310918284044,3233,3245
2026-05-01,8352,1181,0.14140325670498086,0.7495210727969349,0.11946532999164577,0.12108382726502964,0.12026913372582002,0.5394671665947766,0.5252648763701667,3513,3550
2026-06-01,3911,583,0.14906673485042188,0.670161084121708,0.1076581576026637,0.16638078902229847,0.1307277628032345,0.435391222869112,0.4356208355323921,1441,1456
2026-07-01,4729,667,0.14104461831253964,0.8200465214633115,0.2899543378995434,0.1904047976011994,0.22986425339366515,0.5449164265725335,0.5340319131423948,1797,1808
2026-08-01,834,151,0.18105515587529977,0.7649880095923262,0.21518987341772153,0.11258278145695365,0.14782608695652175,0.5104573705797368,0.4947688906557552,389,392
