# generated by production-ranking.sql on 2026-08-18 | unit = request (tenant, prediction_timestamp); order = production rank
min_resolved,requests,requests_with_win,mean_resolved_items,mean_prevalence,precision_at_5,ndcg_at_5
1,2630,1817,49.48365019011408,0.3223259358115008,0.34344106463878327,0.6008901531577314
5,1544,1180,82.90349740932642,0.21273783107788036,0.24870466321243528,0.41935997844106954
10,1169,910,107.34816082121473,0.169630253840721,0.21454234388366122,0.33912924368849573
25,713,588,165.98036465638154,0.1451203015804381,0.2109396914446003,0.29384072047855464
50,441,361,246.30385487528346,0.1392441540465898,0.21451247165532877,0.28728106415650745
